@relation esmeraldastestecluster-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R1-2

@attribute 'f1: arith mean (S channel)' numeric
@attribute 'f2: std deviation (S channel)' numeric
@attribute 'f3: arith mean (V channel)' numeric
@attribute 'f4: std deviation (V channel)' numeric
@attribute 'f5: hist comp (ref category 0, channel S)' numeric
@attribute 'f6: hist comp (ref category 1, channel S)' numeric
@attribute 'f7: hist comp (ref category 2, channel S)' numeric
@attribute 'f8: hist comp (ref category 3, channel S)' numeric
@attribute 'f9: hist comp (ref category 4, channel S)' numeric
@attribute 'f10: hist comp (ref category 5, channel S)' numeric
@attribute 'f11: hist comp (ref category 6, channel S)' numeric
@attribute 'f12: hist comp (ref category 7, channel S)' numeric
@attribute 'f13: hist comp (ref category 0, channel V)' numeric
@attribute 'f14: hist comp (ref category 1, channel V)' numeric
@attribute 'f15: hist comp (ref category 2, channel V)' numeric
@attribute 'f16: hist comp (ref category 3, channel V)' numeric
@attribute 'f17: hist comp (ref category 4, channel V)' numeric
@attribute 'f18: hist comp (ref category 5, channel V)' numeric
@attribute 'f19: hist comp (ref category 6, channel V)' numeric
@attribute 'f20: hist comp (ref category 7, channel V)' numeric
@attribute 'f21: GLCM homogeneity (distance 1, angle 0)' numeric
@attribute 'f22: GLCM homogeneity (distance 1 angle 90)' numeric
@attribute 'f23: GLCM entropy (distance 1, angle 0)' numeric
@attribute 'f24: GLCM entropy (distance 1, angle 90)' numeric
@attribute classe {0,1,2,3,4,5,6,7}

@data
0.874501,0.021894,0.152827,0.030339,0.699949,0.34449,0.600263,0.7788,0.937379,0.870782,0.84517,0.870779,0.529711,0.190994,0.149273,0.236669,0.920053,0.65951,0.533285,0.984874,0.631756,0.732554,0.593374,0.751857,2
0.856846,0.022337,0.148898,0.034353,0.780183,0.411608,0.614604,0.856497,0.975007,0.927145,0.85373,0.917824,0.486822,0.170948,0.250136,0.205833,0.926105,0.615978,0.479362,0.975999,0.623691,0.696928,0.618331,0.702169,2
0.83214,0.020228,0.144018,0.030545,0.767755,0.358706,0.615509,0.847132,0.96823,0.925655,0.761502,0.911668,0.378017,0.171297,0.301139,0.19601,0.84282,0.515402,0.383897,0.943492,0.656295,0.718287,0.635905,0.730571,2
0.860281,0.022699,0.144884,0.031501,0.789953,0.354738,0.616301,0.866267,0.980275,0.939542,0.811321,0.92462,0.505718,0.164261,0.229418,0.226782,0.92561,0.636601,0.497697,0.965514,0.613431,0.729329,0.601627,0.734132,2
0.774766,0.013789,0.253448,0.02256,0.201726,0.843697,0.630193,0.226935,0.759357,0.547928,0.932287,0.632093,0.19814,0.362313,0.477099,0.298697,0.739229,0.320769,0.280093,0.949753,0.441191,0.961609,0.386416,0.988258,7
0.862131,0.022716,0.140003,0.030044,0.80325,0.299513,0.631611,0.88033,0.976328,0.940676,0.793854,0.922794,0.496854,0.130275,0.168872,0.222631,0.894855,0.629059,0.499132,0.957237,0.670287,0.693619,0.617869,0.721159,2
0.885631,0.024342,0.146464,0.033265,0.743883,0.317165,0.639549,0.813123,0.97556,0.902873,0.839106,0.909292,0.58843,0.250114,0.113893,0.294154,0.937657,0.713151,0.591619,0.988462,0.688576,0.675381,0.641877,0.698581,2
0.879358,0.025457,0.139819,0.0336,0.817621,0.307711,0.646081,0.892955,0.986308,0.953388,0.80001,0.936986,0.577112,0.202707,0.141113,0.286316,0.946222,0.700541,0.571972,0.990103,0.677696,0.680673,0.677184,0.68014,2
0.760449,0.014619,0.24729,0.023884,0.235218,0.816482,0.651427,0.211187,0.806044,0.577254,0.917954,0.682647,0.177365,0.43109,0.554265,0.340979,0.738787,0.277003,0.274688,0.939246,0.459537,0.915906,0.45273,0.919459,7
0.888587,0.025637,0.143604,0.034988,0.757276,0.310847,0.671513,0.835661,0.951635,0.905287,0.79017,0.897639,0.585504,0.313099,0.244339,0.343156,0.906178,0.702202,0.605515,0.95762,0.582803,0.7441,0.56919,0.749445,2
0.658107,0.012538,0.258273,0.021971,0.142258,0.807192,0.676932,0.24333,0.773324,0.439997,0.89768,0.621145,0.29279,0.632578,0.729476,0.591574,0.464482,0.321156,0.444777,0.848469,0.342726,1.01655,0.344099,1.0147,0
0.815618,0.016897,0.257635,0.023725,0.172769,0.863819,0.68003,0.137841,0.793486,0.489489,0.937715,0.650361,0.294104,0.266029,0.393756,0.151328,0.852673,0.427184,0.313719,0.973469,0.479636,0.897739,0.455524,0.905905,7
0.875842,0.023175,0.136226,0.032264,0.794454,0.230187,0.682731,0.868099,0.980554,0.933557,0.771473,0.929354,0.544714,0.190067,0.125479,0.261238,0.908593,0.673505,0.549412,0.960859,0.643045,0.709858,0.622804,0.723974,2
0.864359,0.023512,0.147652,0.040654,0.834619,0.48246,0.683763,0.904516,0.996597,0.958927,0.886955,0.949959,0.510991,0.183956,0.186882,0.240415,0.909153,0.641894,0.501585,0.972632,0.717006,0.607461,0.701883,0.61772,2
0.829834,0.019186,0.259934,0.023172,0.18338,0.873831,0.686933,0.187326,0.752136,0.513474,0.941635,0.622301,0.349115,0.213208,0.351033,0.137229,0.870136,0.485231,0.367883,0.970945,0.459454,0.904248,0.443695,0.911602,7
0.807015,0.015212,0.259638,0.02378,0.17314,0.870237,0.687998,0.189105,0.7993,0.458503,0.952267,0.652804,0.30626,0.295961,0.363917,0.237034,0.788681,0.421512,0.357913,0.952345,0.486555,0.894769,0.478553,0.896133,7
0.854523,0.019393,0.250157,0.027472,0.277638,0.891625,0.690445,0.160505,0.844337,0.578452,0.945282,0.715341,0.437773,0.194156,0.24233,0.10435,0.903348,0.570749,0.447652,0.96758,0.552591,0.805565,0.575222,0.797282,1
0.821195,0.016643,0.251009,0.0269,0.269816,0.872671,0.694607,0.16885,0.82985,0.582679,0.938842,0.713052,0.327785,0.248833,0.325096,0.182529,0.819028,0.450165,0.366703,0.97082,0.524688,0.825862,0.522441,0.828112,1
0.868022,0.022885,0.140743,0.033721,0.814435,0.319439,0.696186,0.883314,0.993707,0.94619,0.811534,0.944919,0.520247,0.157224,0.170964,0.223849,0.927654,0.649269,0.511461,0.979536,0.630202,0.705774,0.62404,0.707857,2
0.83021,0.016607,0.260293,0.024208,0.18163,0.840255,0.698731,0.185541,0.794218,0.465195,0.921738,0.657747,0.35399,0.244321,0.322469,0.125921,0.867355,0.487562,0.37335,0.965403,0.444193,0.90755,0.4647,0.902392,7
0.833458,0.019207,0.246657,0.028842,0.324598,0.882357,0.69938,0.183542,0.874039,0.622128,0.938715,0.751135,0.374468,0.22429,0.326457,0.105939,0.892443,0.507176,0.375992,0.979095,0.589277,0.766598,0.602693,0.761429,1
0.845815,0.019858,0.267277,0.022586,0.193037,0.893085,0.702611,0.167548,0.734232,0.498075,0.95503,0.616038,0.406607,0.177564,0.263972,0.111682,0.881613,0.542771,0.419486,0.969159,0.476153,0.907229,0.467591,0.911818,7
0.866122,0.020737,0.129415,0.029009,0.72957,0.295263,0.704321,0.802269,0.933344,0.873085,0.630986,0.877512,0.484175,0.19681,0.188753,0.2154,0.878511,0.618086,0.486426,0.95238,0.61343,0.776137,0.619237,0.77362,2
0.829209,0.017019,0.27967,0.021236,0.122808,0.879408,0.709276,0.268631,0.67085,0.355925,0.946826,0.520624,0.341026,0.239877,0.341648,0.081077,0.867981,0.476195,0.365157,0.968397,0.481458,0.907736,0.471657,0.915829,7
0.850275,0.019401,0.121973,0.027036,0.778433,0.311013,0.715101,0.849744,0.966202,0.917806,0.585221,0.916175,0.426305,0.16416,0.252548,0.151821,0.892525,0.562545,0.413289,0.969369,0.611715,0.76799,0.57688,0.792362,2
0.844039,0.018783,0.247812,0.029548,0.317142,0.868853,0.716356,0.194648,0.857743,0.619228,0.939758,0.742548,0.396113,0.189163,0.257832,0.096269,0.880417,0.533432,0.408126,0.964752,0.485689,0.832642,0.511762,0.823006,1
0.845923,0.017989,0.265249,0.022757,0.169739,0.840534,0.719157,0.16156,0.751678,0.484752,0.938968,0.627955,0.392315,0.198234,0.28869,0.117353,0.880247,0.530355,0.411049,0.976232,0.425068,0.946223,0.442725,0.938133,7
0.851576,0.018592,0.25731,0.02615,0.22366,0.863122,0.720421,0.114271,0.810225,0.517038,0.936969,0.676402,0.424715,0.222181,0.271504,0.11022,0.897247,0.553856,0.435835,0.962911,0.557226,0.82258,0.558044,0.823237,1
0.820831,0.016283,0.115346,0.023,0.757881,0.381381,0.728191,0.83721,0.941783,0.89164,0.493683,0.892119,0.339029,0.213015,0.326283,0.19001,0.808269,0.479352,0.327815,0.930763,0.497277,0.881304,0.457443,0.897812,5
0.831628,0.016955,0.27865,0.021893,0.110833,0.879373,0.730883,0.211705,0.680281,0.368507,0.945898,0.534126,0.34452,0.229818,0.353554,0.085601,0.876202,0.482121,0.364657,0.969813,0.473643,0.902594,0.464522,0.908748,7
0.833109,0.01649,0.269387,0.023617,0.127634,0.860718,0.735712,0.165457,0.753516,0.403843,0.924553,0.610855,0.347145,0.233734,0.333561,0.103762,0.87464,0.484628,0.358605,0.971634,0.383717,0.971105,0.366578,0.975844,7
0.86735,0.021105,0.124294,0.032144,0.789691,0.194467,0.743964,0.860707,0.964503,0.912537,0.663647,0.91563,0.493717,0.146638,0.167875,0.198414,0.904213,0.626345,0.48702,0.963559,0.582643,0.754881,0.569272,0.760775,2
0.781521,0.016338,0.272018,0.024186,0.134242,0.859209,0.751749,0.169007,0.730761,0.393424,0.923525,0.588733,0.212468,0.375285,0.521739,0.269956,0.802005,0.331642,0.257193,0.937423,0.467203,0.924465,0.460677,0.929159,7
0.690603,0.019696,0.263376,0.026219,0.230015,0.922518,0.753265,0.094464,0.78868,0.492105,0.963952,0.662897,0.382381,0.711821,0.815325,0.65883,0.6277,0.322759,0.45263,0.900605,0.592349,0.808243,0.57789,0.813167,3
0.764705,0.014631,0.26417,0.026198,0.208749,0.879025,0.755192,0.083503,0.783698,0.489746,0.934779,0.660993,0.156756,0.390662,0.530907,0.33383,0.718162,0.255677,0.26289,0.941293,0.49252,0.875531,0.51693,0.864278,7
0.798371,0.015338,0.274803,0.024231,0.135657,0.870547,0.755668,0.164278,0.728861,0.384561,0.93708,0.590864,0.232517,0.313187,0.447034,0.210087,0.809803,0.355676,0.272656,0.967893,0.425009,0.929525,0.424304,0.929763,7
0.794759,0.015144,0.263821,0.024217,0.20832,0.820489,0.757547,0.215778,0.752033,0.461081,0.933786,0.627099,0.210809,0.305592,0.449387,0.230883,0.779562,0.331983,0.282118,0.959901,0.457906,0.919543,0.457795,0.923573,7
0.860313,0.021,0.126503,0.033402,0.840891,0.174968,0.760001,0.912704,0.980379,0.950903,0.736609,0.942721,0.478509,0.156311,0.204367,0.214464,0.877011,0.613237,0.486883,0.944154,0.666848,0.683672,0.654867,0.688542,2
0.832552,0.018679,0.250878,0.0328,0.386117,0.910078,0.761914,0.186462,0.90786,0.641529,0.959707,0.800531,0.38008,0.2421,0.33307,0.111636,0.896543,0.508644,0.366952,0.979788,0.626094,0.721404,0.632739,0.720601,1
